filename,source_page,credit,license
kitchen_interior_design.jpg,https://commons.wikimedia.org/wiki/File:Kitchen_interior_design.jpg,EddieRider at English Wikipedia,Public domain
living_room_modern.jpg,https://commons.wikimedia.org/wiki/File:Living_Room.jpg,Tim Collins,CC BY-SA 3.0
living_room_bottomley_house.jpg,https://commons.wikimedia.org/wiki/File:Living_Room_(3650655376).jpg,Steve Snodgrass,CC BY-SA 2.0
pope_leighey_living_room.jpg,"https://commons.wikimedia.org/wiki/File:Pope-Leighey_House_-_Living_room_interior_-_HABS_VA,30-FALCH,2-19.jpg","Library of Congress, HABS",Public domain
kitchen_cups_interior.jpg,https://commons.wikimedia.org/wiki/File:(Interior_view_of_kitchen_(AM_81886-2).jpg,Tudor Washington Collins,Public domain / no known restrictions
apartment_kitchen_seattle.jpg,"https://commons.wikimedia.org/wiki/File:Apartment_kitchen_interior,_nd_(SEATTLE_2545).jpg","Unknown photographer, Seattle Municipal Archives",Public domain / no known restrictions
historic_kitchen_dpla.jpg,https://commons.wikimedia.org/wiki/File:Kitchen_-_interior_-_DPLA_-_b1a85d2f759ba4a9486ff9309943668c.jpg,University of Illinois Urbana-Champaign University Library,Public domain
hotel_bedroom_open_door.jpg,https://commons.wikimedia.org/wiki/File:Bedroom_hotel_interior_with_open_door_window._(51536308276).jpg,Marco Verch,CC BY 2.0
woodbury_bedroom.jpg,https://commons.wikimedia.org/wiki/File:Woodbury_interior_bedroom_-_DPLA_-_ba97af76d2d3a6ef6612878f1ce536b1.jpg,University of Colorado Boulder Libraries,Public domain
harlem_river_bedroom.jpg,https://commons.wikimedia.org/wiki/File:Harlem_River_Houses_Bedroom_(1937).jpg,"Federal housing documentation, 1937",Public domain
dining_room_w_long.jpg,"https://commons.wikimedia.org/wiki/File:Interior_of_a_Dining_Room,_by_W._Long.jpg",W. Long / New York Public Library,Public domain
loudoun_house_dining_room.jpg,"https://commons.wikimedia.org/wiki/File:Loudoun_House,_interior;_dining_room,_1903.jpg",Daderot / William Cassius Goodloe II,Public domain
government_house_dining_room.jpg,"https://commons.wikimedia.org/wiki/File:Government_House_(1868-1912),_interior,_dining_room_1.jpg",Augustus H. Oscar Freemantle / Toronto Public Library,Public domain
old_faithful_dining_room.jpg,"https://commons.wikimedia.org/wiki/File:Old_Faithful_Inn,_dining_room_(9411152076).jpg","Jim Peaco, National Park Service",Public domain
boynton_house_dining_room.jpg,https://commons.wikimedia.org/wiki/File:Boynton_House_-_Dining_room.jpg,"Library of Congress, HABS",Public domain
